date,station,fuel_type,effective_date,price
2021-02-26,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-26,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),25 Feb 05:00,26.05
2021-02-27,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-27,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-27,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),25 Feb 05:00,26.05
2021-02-28,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-28,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-02-28,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),26 Feb 05:00,26.55
2021-03-01,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-03-01,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-03-01,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),26 Feb 05:00,26.55
2021-03-02,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-03-02,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-03-02,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),26 Feb 05:00,26.55
2021-03-03,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-03-03,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),20 Feb 05:00,26.05
2021-03-03,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),02 Mar 05:00,26.55
2021-03-04,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),03 Mar 00:01,25.75
2021-03-04,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),03 Mar 05:00,25.75
2021-03-04,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),03 Mar 05:00,26.05
2021-03-05,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),03 Mar 00:01,25.75
